"guideline_id","acronym","file_index","file_label","source_url","host","ext","local_path","status","http_status","content_type","bytes","sha256","detected","type_mismatch"
"consensus-based-reporting-guideline-for-participatory-development-and-evaluation","",1,"here","https://static-content.springer.com/esm/art%3A10.1038%2Fs41746-026-02355-5/MediaObjects/41746_2026_2355_MOESM1_ESM.pdf","static-content.springer.com","pdf","data-raw/downloads/consensus-based-reporting-guideline-for-participatory-development-and-evaluation/01_13b48c79.pdf","ok",NA,NA,1869906,"d7a1c97c3b59054cf4de446465c81800172741e9bce96b0c6c7d40786d3cb45d","pdf",FALSE
"phycare","PhyCARE",1,"here","https://bmjopen.bmj.com/content/bmjopen/16/1/e110765/DC7/embed/inline-supplementary-material-7.pdf?download=true","bmjopen.bmj.com","pdf","data-raw/downloads/phycare/01_b075bb9c.pdf","ok",NA,NA,5962,"f30532be507485df5a01930b97f60d8712cbb8120c39642465d6d74d10287247","html",TRUE
"care-dn","CARE-DN",1,"here","https://care.healthandresilience.org/wp-content/uploads/2025/11/CARE-DN_round_2-E-E.pdf","care.healthandresilience.org","pdf","data-raw/downloads/care-dn/01_34121be4.pdf","http_0",0,NA,0,NA,NA,FALSE
"guide-rehab","GUIDE-Rehab",1,"here","https://ebm.bmj.com/content/ebmed/early/2025/12/21/bmjebm-2025-113997/DC3/embed/inline-supplementary-material-3.pdf?download=true","ebm.bmj.com","pdf","data-raw/downloads/guide-rehab/01_5f3df828.pdf","ok",NA,NA,6042,"6350067ebcb052193c2aaf96cb148dca6506545ac99f01cf0396cae05c355ff6","html",TRUE
"gamer","GAMER",1,"Chinese","https://www.equator-network.org/wp-content/uploads/2025/07/GAMER-checklist-Chinese-version.docx","www.equator-network.org","docx","data-raw/downloads/gamer/01_877ce5c2.docx","ok",NA,NA,16964,"ffd751136c71f1e8dca4b9e85d159ce13b7397c523e7b89251f8d460c5639ebd","docx",FALSE
"tear-rg","TEAR-RG",1,"here","https://www.contactlensjournal.com/cms/10.1016/j.clae.2025.102448/attachment/b12ad117-bcf9-403a-8bf0-6a98e9149730/mmc1.docx","www.contactlensjournal.com","docx","data-raw/downloads/tear-rg/01_d179505e.docx","ok",NA,NA,5979,"9ae25c1c17b15c428affb5f01e40ae357b2a39eb521550b06a2cf021517a7e98","html",TRUE
"reporting-guidelines-for-tear-fluid-research","",1,"TEAR-Reporting Guidelines","https://www.equator-network.org/wp-content/uploads/2025/07/TEAR-Reporting-Guidelines.pdf","www.equator-network.org","pdf","data-raw/downloads/reporting-guidelines-for-tear-fluid-research/01_4df97db8.pdf","ok",NA,NA,200569,"ab2b6976baa26a20c0506b9dbe2e97a9481e615685efd038de907f8d10a6433b","pdf",FALSE
"target","TARGET",1,"here","https://target-guideline.org/files/TARGET_checklist_editable_2025.docx","target-guideline.org","docx","data-raw/downloads/target/01_b2194231.docx","ok",NA,NA,154959,"888650f8c1704b5f60817e015295cf8c4be96a80b88d48725baf1d72bb592f23","docx",FALSE
"deal","DEAL",1,"The DEAL checklists","https://ai.nejm.org/doi/suppl/10.1056/AIp2401106/suppl_file/aip2401106_appendix.pdf","ai.nejm.org","pdf","data-raw/downloads/deal/01_1a838181.pdf","ok",NA,NA,5804,"426eae04980dd0e0c2f949eadd57bbfb2d4d267a60fc5c01a27eb2a29f5fd0a7","html",TRUE
"medinai","MedinAI",1,"MedinAI checklist","https://static-content.springer.com/esm/art%3A10.1007%2Fs11096-025-01905-3/MediaObjects/11096_2025_1905_MOESM2_ESM.docx","static-content.springer.com","docx","data-raw/downloads/medinai/01_4e84ea29.docx","ok",NA,NA,2749498,"ca72982463cbc1075a175ded6288a86bf8762c80383f15f148a52a11b2f19611","docx",FALSE
"grove","GROVE",1,"GROVE Checklist (Word)","https://www.equator-network.org/wp-content/uploads/2025/03/GROVE-Checklist.docx","www.equator-network.org","docx","data-raw/downloads/grove/01_3d6d92b2.docx","ok",NA,NA,27191,"b341a373015a82299bb32cbb1fe1815a55e3539345773577727c7cb55d26f789","docx",FALSE
"prisma-lsr","PRISMA-LSR",1,"PRISMA-LSR checklist (Word)","https://www.prisma-statement.org/s/PRISMA-LSR-checklist.docx","www.prisma-statement.org","docx","data-raw/downloads/prisma-lsr/01_d8f2985c.docx","ok",NA,NA,25737,"45301330ba2d8c46ee5f967edec01c8851655eb76bae22f007f46663b1d5cda8","docx",FALSE
"prisma-lsr","PRISMA-LSR",2,"PRISMA-LSR checklist (PDF)","https://www.prisma-statement.org/s/PRISMA-LSR-checklist.pdf","www.prisma-statement.org","pdf","data-raw/downloads/prisma-lsr/02_65a1bd19.pdf","ok",NA,NA,119287,"2fd6a762ce9a25d7c8122284a0c14bb941a238252eb695694000baabdcce2381","pdf",FALSE
"greenbean","GREENBEAN",1,"here","https://www.equator-network.org/wp-content/uploads/2025/06/GREENBEAN-Checklist.docx","www.equator-network.org","docx","data-raw/downloads/greenbean/01_fa668f27.docx","ok",NA,NA,32320,"62589961dd77918a536bf282458f867c3f4b3aef360dd8a89dc65bc153e4c1cb","docx",FALSE
"greenbean","GREENBEAN",2,"supplementary material","https://ars.els-cdn.com/content/image/1-s2.0-S1388245725006297-mmc1.docx","ars.els-cdn.com","docx","data-raw/downloads/greenbean/02_3012df8b.docx","ok",NA,NA,1185603,"1a6ebbdaf3fb85b0c603bf63a88c3f035ab661ffd98c47efab168f92eca7f122","docx",FALSE
"guidelines-for-reporting-research-using-systematic-coding-of","",1,"SCOBe checklist (Word)","https://www.equator-network.org/wp-content/uploads/2024/11/SCOBe-checklist.docx","www.equator-network.org","docx","data-raw/downloads/guidelines-for-reporting-research-using-systematic-coding-of/01_b675e5d5.docx","ok",NA,NA,20945,"c7429f24eeabff4ae225f926fb52c6c935e2176d5d2ab209aac3042b4f653691","docx",FALSE
"guidelines-for-reporting-research-using-systematic-coding-of","",2,"SCOBe checklist (PDF)","https://www.equator-network.org/wp-content/uploads/2024/11/SCOBe-checklist.pdf","www.equator-network.org","pdf","data-raw/downloads/guidelines-for-reporting-research-using-systematic-coding-of/02_abd7437a.pdf","ok",NA,NA,87069,"051edb68e432ab496e263e1f538342fd05975e606599cc694e51b6358b49ac36","pdf",FALSE
"clix-m","CLIX-M",1,"supplementary information.","https://static-content.springer.com/esm/art%3A10.1038%2Fs41746-025-01764-2/MediaObjects/41746_2025_1764_MOESM1_ESM.docx","static-content.springer.com","docx","data-raw/downloads/clix-m/01_0fc6685f.docx","ok",NA,NA,74382,"1c617819530b36e89eb111fad8a9a8e371caff1ca1e291c42f0cd210d024d928","docx",FALSE
"delphistar","DELPHISTAR",1,"Word","https://www.equator-network.org/wp-content/uploads/2024/11/RG_DELPHISTAR_engl-2.docx","www.equator-network.org","docx","data-raw/downloads/delphistar/01_7656ccff.docx","ok",NA,NA,133299,"ce86b46ee14470cf48c9adecf3ccfc1b19f864a08330eaa9c340ec7bbc1c00df","docx",FALSE
"delphistar","DELPHISTAR",2,"(PDF","https://www.equator-network.org/wp-content/uploads/2024/11/RG_DELPHISTAR_engl-1.pdf","www.equator-network.org","pdf","data-raw/downloads/delphistar/02_1a35ffcd.pdf","ok",NA,NA,301773,"c4d3dac2c50e81b70ac5ef09a977a3297fa1f2d7bf4f67e7d304379f4f3344ee","pdf",FALSE
"delphistar","DELPHISTAR",3,"Word","https://www.equator-network.org/wp-content/uploads/2024/11/RG_DELPHISTAR_ger.docx","www.equator-network.org","docx","data-raw/downloads/delphistar/03_dcb41729.docx","ok",NA,NA,140109,"a80ee037c252d4b2ed03b7b241a1fde7bbd030fa74ba6d507018e0d60fd93fb4","docx",FALSE
"delphistar","DELPHISTAR",4,"PDF","https://www.equator-network.org/wp-content/uploads/2024/11/RG_DELPHISTAR_ger.pdf","www.equator-network.org","pdf","data-raw/downloads/delphistar/04_d5bbb5b9.pdf","ok",NA,NA,304423,"6ca1218527eb0e3b930ba32db2cb2f45b395f0566d17cab2c08ed6fc90299c15","pdf",FALSE
"reporting-guidelines-for-evidence-based-practice-projects-a-delphi","",1,"EBP project checklist (PDF)","https://www.equator-network.org/wp-content/uploads/2024/11/Evidence-based-practice-project-checklist.pdf","www.equator-network.org","pdf","data-raw/downloads/reporting-guidelines-for-evidence-based-practice-projects-a-delphi/01_d3abee83.pdf","ok",NA,NA,171039,"6153ce30bccb6f793494759505f0759bc1b9bc4de91d0065e7d6307de9416c42","pdf",FALSE
"rimes-se","RIMES-SE",1,"Supplemental File 3 (PDF)","https://static-content.springer.com/esm/art%3A10.1007%2Fs40264-024-01417-5/MediaObjects/40264_2024_1417_MOESM3_ESM.pdf","static-content.springer.com","pdf","data-raw/downloads/rimes-se/01_1d31e83d.pdf","ok",NA,NA,591495,"e447f4d765a59db6946f3cd2d7d5652bb0e68ad0a4850b4acd5d6ed2c4699652","pdf",FALSE
"rimes-se","RIMES-SE",2,"Supplemental File 4 (PDF)","https://static-content.springer.com/esm/art%3A10.1007%2Fs40264-024-01417-5/MediaObjects/40264_2024_1417_MOESM4_ESM.pdf","static-content.springer.com","pdf","data-raw/downloads/rimes-se/02_da7556b5.pdf","ok",NA,NA,325952,"512e0defa2539c3a4f7d65c40d994fb00565a3656af2686b8287776ef0eccd00","pdf",FALSE
"beprecise","BePRECISE",1,"BePRECISE Checklist (Word)","https://www.equator-network.org/wp-content/uploads/2024/07/BePRECISE-Checklist.docx","www.equator-network.org","docx","data-raw/downloads/beprecise/01_d47c7e69.docx","ok",NA,NA,20559,"9e9841e450ae22523b7a8706e34ba13759d1859b38da8c1be220b815eb2030f4","docx",FALSE
"beprecise","BePRECISE",2,"BePRECISE Checklist (PDF)","https://www.equator-network.org/wp-content/uploads/2024/07/BePRECISE-Checklist.pdf","www.equator-network.org","pdf","data-raw/downloads/beprecise/02_b921b17b.pdf","ok",NA,NA,91887,"f70188021658135578d8c2da7573935b3410310cd75a502df37ba8332316f371","pdf",FALSE
"spirit-surrogate","SPIRIT-Surrogate",1,"SPIRIT-Surrogate checklist (PDF)","https://www.bmj.com/content/bmj/suppl/2024/07/09/bmj-2023-078525.DC1/mana078525.ww2.pdf","www.bmj.com","pdf","data-raw/downloads/spirit-surrogate/01_2536d2c2.pdf","ok",NA,NA,5837,"ba1ebb404cdcf3b1e1a86fa16f9449a304c24e15cbf6b5faf88d89826e60e4c6","html",TRUE
"consort-surrogate","CONSORT-Surrogate",1,"CONSORT-Surrogate checklist (PDF)","https://www.bmj.com/content/bmj/suppl/2024/07/09/bmj-2023-078524.DC1/mana078524.ww3.pdf","www.bmj.com","pdf","data-raw/downloads/consort-surrogate/01_1607ee20.pdf","ok",NA,NA,5837,"68af5f63a9da803442e2eab6ae214dcd53cd0429ab772f6afc030fae19f301bf","html",TRUE
"riva-c","RIVA-C",1,"supplementary file 6 (PDF)","https://ebm.bmj.com/content/ebmed/early/2024/01/19/bmjebm-2023-112784/DC1/embed/inline-supplementary-material-1.pdf?download=true","ebm.bmj.com","pdf","data-raw/downloads/riva-c/01_026fd96b.pdf","ok",NA,NA,6042,"c14977631a569907931cb54632b932bde4a54357b3072b427d6278265bda9281","html",TRUE
"enlight","ENLIGHT",1,"ENLIGHT Checklist (PDF)","https://github.com/ENLIGHT-Project/ENLIGHT-Checklist/blob/06ee653046cffe833753028c2b4bc71cdb6a711b/1.0.2/ENLIGHT_Checklist_Release_1.0.2_20231016.pdf","github.com","pdf","data-raw/downloads/enlight/01_1c639ed9.pdf","ok",NA,NA,226842,"bf760cffba043602314fc479fbed94cba345c00e8dee2609c9f7aeb14b6f4e3a","html",TRUE
"enlight","ENLIGHT",2,"ENLIGHT Explanation & Elaboration document (PDF)","https://github.com/ENLIGHT-Project/ENLIGHT-Checklist/blob/06ee653046cffe833753028c2b4bc71cdb6a711b/1.0.2/ENLIGHT_E%26E_Release_1.0.2_20231016.pdf","github.com","pdf","data-raw/downloads/enlight/02_6ab43e2a.pdf","ok",NA,NA,226859,"7eeed40e0a4c1ed3124850dcc0bb72911196f3e3eb38a2d90670787e38ed6589","html",TRUE
"accord","ACCORD",1,"ACCORD checklist (Word)","https://www.ismpp.org/assets/ACCORD/ACCORD%20checklist%20editable.docx","www.ismpp.org","docx","data-raw/downloads/accord/01_8bcfe9a2.docx","ok",NA,NA,109894,"fa21fcfdaf21e4277df51154d723f863f3188dd80542b71b87c37c894aa75e96","docx",FALSE
"consort-factorial","CONSORT Factorial",1,"Read the protocol for the development of this guideline (PDF)","https://www.equator-network.org/wp-content/uploads/2021/12/RAFT-Study_Protocol_Final-version-1.1_27-Sept-2021_OSF.pdf","www.equator-network.org","pdf","data-raw/downloads/consort-factorial/01_79760ed9.pdf","ok",NA,NA,733684,"5ebea1980e61021d73427e61b8ee83facb4c2ae167ae290807adc593757d03aa","pdf",FALSE
"biblio","BIBLIO",1,"BIBLIO Checklist (Word)","https://www.equator-network.org/wp-content/uploads/2024/01/BIBLIO-Checklist.docx","www.equator-network.org","docx","data-raw/downloads/biblio/01_3f5c299a.docx","ok",NA,NA,24057,"6fac2528165b62cb4d5de52443a4b877580529421c15cf58707849c3b1860b6a","docx",FALSE
"biblio","BIBLIO",2,"BIBLIO Checklist (PDF)","https://www.equator-network.org/wp-content/uploads/2024/01/BIBLIO-Checklist.pdf","www.equator-network.org","pdf","data-raw/downloads/biblio/02_63e77f6d.pdf","ok",NA,NA,291059,"df5917272f6f5e0fe6c353685d1557e434cc2b08787356c06a66a70f297a7c59","pdf",FALSE
"consolidated-reporting-guidelines-for-prognostic-and-diagnostic-machine","",1,"Multimedia Appendix 1 (Word)","https://jmir.org/api/download?alt_name=jmir_v25i1e48763_app1.docx&filename=c8cfc620c0d2755b817722cd383b9f41.docx","jmir.org","","data-raw/downloads/consolidated-reporting-guidelines-for-prognostic-and-diagnostic-machine/01_d67a296a","ok",NA,NA,65131,"53c07dec4f0397b777bddfc5277181577632da8239180d8f9f5be6f333634409","docx",FALSE
"grow","GROW",1,"GROW checklist (PDF)","https://www.esmo.org/content/download/775073/18293338/1/ESMO-GROW-Checklist.pdf","www.esmo.org","pdf","data-raw/downloads/grow/01_80cda373.pdf","ok",404,"image/gif",0,NA,NA,FALSE
"grow","GROW",2,"GROW flowchart (Word)","https://www.esmo.org/content/download/775071/18293314/1/ESMO-GROW-Flowchart-Template.docx","www.esmo.org","docx","data-raw/downloads/grow/02_7937f176.docx","ok",404,"image/gif",0,NA,NA,FALSE
"consort-define","CONSORT-DEFINE",1,"protocol (PDF)","https://www.equator-network.org/wp-content/uploads/2022/05/DF-CONSORT-protocol-v1.2_FINAL.pdf","www.equator-network.org","pdf","data-raw/downloads/consort-define/01_dbd4f1e5.pdf","ok",NA,NA,295150,"9528aea451b88da0b071c23cf66c337e2ca26807740be90bb3bea01e64b5e655","pdf",FALSE
"spirit-define","SPIRIT-DEFINE",1,"protocol (PDF)","https://www.equator-network.org/wp-content/uploads/2022/05/SPIRIT-protocol-v1.0-06052022_FINAL1.pdf","www.equator-network.org","pdf","data-raw/downloads/spirit-define/01_6c378424.pdf","ok",NA,NA,449929,"e670539d11d02d90bba629f9e165b906a14e25c42b66e1286318c44364944d0f","pdf",FALSE
"mmr-rhs","MMR-RHS",1,"MMR-RHS checklist (PDF)","https://www.equator-network.org/wp-content/uploads/2023/09/MMR-RHS-checklist.pdf","www.equator-network.org","pdf","data-raw/downloads/mmr-rhs/01_c4fe08ab.pdf","ok",NA,NA,807322,"25130e127a11f0741cb5cb7cfb9a63a4986c1c1a15e5dc7b6ae884695ec08793","pdf",FALSE
"crisp","CRISP",1,"CRISP Checklist (Word)","https://www.equator-network.org/wp-content/uploads/2023/10/CRISP-Reporting-Checklist-Version-1.0.docx","www.equator-network.org","docx","data-raw/downloads/crisp/01_629d9b6c.docx","ok",NA,NA,121901,"b75f38f7b55c72d944efe1763919f35c26dcd49c64206381167f7bc23713f698","docx",FALSE
"crisp","CRISP",2,"CRISP Checklist (PDF)","https://www.equator-network.org/wp-content/uploads/2023/10/CRISP-Reporting-Checklist-Version-1.0.pdf","www.equator-network.org","pdf","data-raw/downloads/crisp/02_e502d26d.pdf","ok",NA,NA,233187,"2d593d44dc709e834a2bebacd1335bf5c636a85e131505a42d6e880336f9880f","pdf",FALSE
"crisp","CRISP",3,"CRISP Checklist Brazilian Portuguese (Word)","https://crisp-pc.org/wp-content/uploads/2025/03/CRISP_Checklist_Brazilian_Portuguese.docx","crisp-pc.org","docx","data-raw/downloads/crisp/03_d585d36f.docx","ok",NA,NA,31111,"d8e7b85489833d7e33daa41d4b85f6330f15e59c6bc9ec7bc4c61e58305667a6","docx",FALSE
"crisp","CRISP",4,"CRISP Checklist Brazilian Portuguese (PDF)","https://crisp-pc.org/wp-content/uploads/2025/03/CRISP_Checklist_Brazilian_Portuguese.pdf","crisp-pc.org","pdf","data-raw/downloads/crisp/04_82e573be.pdf","ok",NA,NA,118173,"223b64dabcb48290f473ed16a707d3984ec6ac2be4fd3c6ff610d6c1d990135f","pdf",FALSE
"crisp","CRISP",5,"CRISP Checklist Chinese (PDF)","https://crisp-pc.org/wp-content/uploads/2024/11/CRISP-Checklist-Chinese-Version.pdf","crisp-pc.org","pdf","data-raw/downloads/crisp/05_f41db8f5.pdf","ok",NA,NA,314540,"0c927c85e7d77830b2f82194f3ff468f7fc85e32ad0869a4701f90da746c63a2","pdf",FALSE
"crisp","CRISP",6,"CRISP Checklist French (Word)","https://crisp-pc.org/wp-content/uploads/2025/01/FR-CRISP-Reporting-Checklist-2024.docx","crisp-pc.org","docx","data-raw/downloads/crisp/06_17bff095.docx","ok",NA,NA,38038,"8ab44e724d18e3a544c2c73920c4aa480f717ef1a0aeb40116408bd97eb18544","docx",FALSE
"crisp","CRISP",7,"CRISP Checklist French (PDF)","https://crisp-pc.org/wp-content/uploads/2025/01/FR-CRISP-Reporting-Checklist-2024.pdf","crisp-pc.org","pdf","data-raw/downloads/crisp/07_997a9c6a.pdf","ok",NA,NA,248662,"bc05cc33006859c3417c9e6e6e3436816e8b7fa70a90932e0bc08b577656935a","pdf",FALSE
"crisp","CRISP",8,"CRISP Checklist German (Word)","https://crisp-pc.org/wp-content/uploads/2025/03/CRISP_Checklist_German_Deutsch.docx","crisp-pc.org","docx","data-raw/downloads/crisp/08_5a0ceb87.docx","ok",NA,NA,129472,"77f7e58bba1c090caed5a9a66d39410034eb80d5f192cd339f21b18641639587","docx",FALSE
"crisp","CRISP",9,"CRISP Checklist German (PDF)","https://crisp-pc.org/wp-content/uploads/2025/03/CRISP_Checklist_German_Deutsch.pdf","crisp-pc.org","pdf","data-raw/downloads/crisp/09_e81678c0.pdf","ok",NA,NA,203299,"9e08c7fcf01b9b747edd7139b30515ce6fd6f33ea485dd410c14e56816439754","pdf",FALSE
"crisp","CRISP",10,"CRISP Checklist Spanish (Word)","https://crisp-pc.org/wp-content/uploads/2025/04/CRISP_Checklist_Espanol.docx","crisp-pc.org","docx","data-raw/downloads/crisp/10_f87022f7.docx","ok",NA,NA,43845,"e344d8a361fd160917364ef9c21fe3217bfd0e2150ef9c80c5b0dca171e03bfe","docx",FALSE
"crisp","CRISP",11,"CRISP Checklist Spanish (PDF)","https://crisp-pc.org/wp-content/uploads/2025/04/CRISP-Checklist-Espanol.pdf","crisp-pc.org","pdf","data-raw/downloads/crisp/11_cded679a.pdf","ok",NA,NA,311669,"c9428b67e77660953177fe7d9ef295677d2d0b8715b27d966d8f79caa61c2f57","pdf",FALSE
"crisp","CRISP",12,"CRISP checklist Turkish (Word)","https://crisp-pc.org/wp-content/uploads/2024/10/CRISP-Checklist-Turkish-final-2024.10.1.docx","crisp-pc.org","docx","data-raw/downloads/crisp/12_8facf6a7.docx","ok",NA,NA,77434,"3dd4a57d93326eb3d8054b597d199dbf8f977f8566dff8d3c414277367917604","docx",FALSE
"crisp","CRISP",13,"CRISP checklist Turkish (PDF)","https://crisp-pc.org/wp-content/uploads/2024/10/CRISP-Checklist-Turkish-final-2024.10.1-1.pdf","crisp-pc.org","pdf","data-raw/downloads/crisp/13_f3ed5ee3.pdf","ok",NA,NA,191498,"b2f4074679b966f147546bd714279e357541472c4f952abe8848d10896c42e2e","pdf",FALSE
"crisp","CRISP",14,"CRISP Explanation and examples Chinese (PDF)","https://crisp-pc.org/wp-content/uploads/2024/11/CRISP-Explanation-and-Examples-Chinese-Version.pdf","crisp-pc.org","pdf","data-raw/downloads/crisp/14_fd5dfb93.pdf","ok",NA,NA,509094,"b4fe12ab6625b496aabf1d2b25ee6605bcdbe1d372b6cb3aadd56ac552e5027a","pdf",FALSE
"copps","CoPPS",1,"Read the CoPPS Statement E&E paper","https://www.bmj.com/content/bmj/suppl/2023/05/25/bmj-2022-072108.DC1/hohd072108.wt1.pdf","www.bmj.com","pdf","data-raw/downloads/copps/01_b86d8b05.pdf","ok",NA,NA,5837,"0b16a8d034295f20e4c35affb4c7c1e248d630a04f59032c59168ec44f32b4d0","html",TRUE
"copps","CoPPS",2,"Access the CoPPS Statement checklist","https://www.bmj.com/content/bmj/suppl/2023/05/25/bmj-2022-072108.DC1/hohd072108.wt3.pdf","www.bmj.com","pdf","data-raw/downloads/copps/02_1f624c49.pdf","ok",NA,NA,5837,"ff953bdb97af7416cc19541ba9b755e86cb113f6c5fc1dde6f77074c5dffdddf","html",TRUE
"spirit-outcomes-2022","SPIRIT-Outcomes 2022",1,"PDF","https://www.spirit-statement.org/wp-content/uploads/Fillable-SPIRIT-Outcomes-2022-Checklist-with-SPIRIT-2013.pdf","www.spirit-statement.org","pdf","data-raw/downloads/spirit-outcomes-2022/01_066b68e3.pdf","ok",NA,NA,287923,"cef4e83a4b876d4eedce00cfff1072d388a57861cd238cf11bb5ef17976c0539","pdf",FALSE
"spirit-outcomes-2022","SPIRIT-Outcomes 2022",2,"PDF","https://www.spirit-statement.org/wp-content/uploads/Fillable-SPIRIT-Outcomes-2022-Checklist.pdf","www.spirit-statement.org","pdf","data-raw/downloads/spirit-outcomes-2022/02_2ed98c86.pdf","ok",NA,NA,168188,"f586784778dc2da32bac4d49af1d173307856cbeea94f0978b6338b20d12124e","pdf",FALSE
"doctrine","DoCTRINE",1,"DoCTRINE Checklist (Word)","https://www.equator-network.org/wp-content/uploads/2022/09/DoCTRINE-Guideline-Checklist.docx","www.equator-network.org","docx","data-raw/downloads/doctrine/01_17e7a144.docx","ok",NA,NA,16469,"c80d4bd3106c02f5fbaeb7a9e579e4ecea852119e66429f8a4d3edcb04f09e75","docx",FALSE
"prior","PRIOR",1,"Read the Prior Statement Explanation and Elaboration document (PDF)","https://www.bmj.com/highwire/filestream/1072600/field_highwire_adjunct_files/1/gatm070849.ww2.pdf","www.bmj.com","pdf","data-raw/downloads/prior/01_e6e39640.pdf","ok",NA,NA,5889,"72fe949a3298e28de23a3a1a41b0daee386e1af5af9bfe7e62fc9b5c693c28af","html",TRUE
"prior","PRIOR",2,"Access the PRIOR Checklist (PDF)","https://www.bmj.com/content/bmj/suppl/2022/08/09/bmj-2022-070849.DC1/gatm070849.ww3.pdf","www.bmj.com","pdf","data-raw/downloads/prior/02_76da4f31.pdf","ok",NA,NA,5837,"3ce61aba468e8c6e146825b9e20766bb98a86c88e90dc7db72096f42f4e98942","html",TRUE
"development-of-guidelines-to-reduce-handle-and-report","",1,"Missing data in palliative and end of life care trials Guidance on how to reduce, handle and report","https://www.mariecurie.org.uk/globalassets/media/documents/research/Missing-Guidance-Report-final-June-2022.pdf","www.mariecurie.org.uk","pdf","data-raw/downloads/development-of-guidelines-to-reduce-handle-and-report/01_2809c747.pdf","ok",NA,NA,2918144,"c58019256f878447c0f44c3a289ca42a6372b236813425ad51605c468a735283","pdf",FALSE
"assess","ASSESS",1,"Read a guide (PDF)","https://arc-sl.nihr.ac.uk/sites/default/files/uploads/files/Imp-Sci-reporting-guidelines-2023.pdf","arc-sl.nihr.ac.uk","pdf","data-raw/downloads/assess/01_5ca66cf1.pdf","ok",NA,NA,48533,"29fcdb39f32942d7a45666684dbf1c08b8c0430b6521e25af4d857aef9cd15e0","html",TRUE
"icarus","ICARUS",1,"ICARUS checklist (Word)","https://www.equator-network.org/wp-content/uploads/2022/09/ICARUS-checklist.docx","www.equator-network.org","docx","data-raw/downloads/icarus/01_1d047cda.docx","ok",NA,NA,68496,"cb4488bcee51617003ade74e38202975f5896d0878c4e7663b6e77576e8cf8c5","docx",FALSE
"icarus","ICARUS",2,"ICARUS checklist (PDF)","https://www.equator-network.org/wp-content/uploads/2022/09/ICARUS-checklist.pdf","www.equator-network.org","pdf","data-raw/downloads/icarus/02_078af568.pdf","ok",NA,NA,131474,"8878a442b13cf457c974a00514e0899ed2311adcd25d081674495e560f82a6ab","pdf",FALSE
"code-ehr","CODE-EHR",1,"CODE-EHR checklist (Word)","https://www.equator-network.org/wp-content/uploads/2022/09/CODE-EHR-checklist.docx","www.equator-network.org","docx","data-raw/downloads/code-ehr/01_de4f11cd.docx","ok",NA,NA,29659,"1744efa4674136bf75e58995169a5d1aee4c464e3b5f90e5ba1e0c4fd56e8eef","docx",FALSE
"code-ehr","CODE-EHR",2,"CODE-EHR checklist (PDF)","https://www.equator-network.org/wp-content/uploads/2022/09/CODE-EHR-checklist.pdf","www.equator-network.org","pdf","data-raw/downloads/code-ehr/02_de61df3d.pdf","ok",NA,NA,457942,"a95c0188bfecb6b26d546e6d628ff239844f9a581876776f7fbab6abd6585ade","pdf",FALSE
"decide-ai","DECIDE-AI",1,"Spanish","https://www.equator-network.org/wp-content/uploads/2022/05/DECIDE-AI-Spanish.pdf","www.equator-network.org","pdf","data-raw/downloads/decide-ai/01_450f626d.pdf","ok",NA,NA,152302,"83b284f12051a68333bc7ea889fe595f8d93e2786b637f37bfefc84ffe7ea68b","pdf",FALSE
"jars-quant","JARS-Quant",1,"JARS-REC checklist (PDF)","https://apastyle.apa.org/jars/rec-table-1.pdf","apastyle.apa.org","pdf","data-raw/downloads/jars-quant/01_7beb311c.pdf","ok",NA,NA,173359,"1dfa625f602001b3f3f713e80c8757519387c57326fa785c9bf10a7a65acbc31","pdf",FALSE
"jars-quant","JARS-Quant",2,"JARS-Quant checklist (PDF)","https://apastyle.apa.org/jars/quant-table-1.pdf","apastyle.apa.org","pdf","data-raw/downloads/jars-quant/02_e125bf7a.pdf","ok",NA,NA,99144,"11c042b1b90408ce19e1662286bb1564479ecfffff4459a85968acb797d60c2d","pdf",FALSE
"jars-quant","JARS-Quant",3,"Experimental Designs checklist (PDF)","https://apastyle.apa.org/jars/quant-table-2.pdf","apastyle.apa.org","pdf","data-raw/downloads/jars-quant/03_7720afdb.pdf","ok",NA,NA,97755,"30ff306a932566546251bddc78a2f8f0f2fc54315e080de6c8da291302a784c0","pdf",FALSE
"jars-quant","JARS-Quant",4,"Random Assignment checklist (PDF)","https://apastyle.apa.org/jars/quant-table-2a.pdf","apastyle.apa.org","pdf","data-raw/downloads/jars-quant/04_d55564ad.pdf","ok",NA,NA,81130,"74b58658a026c01bf2315340f49a147843b36cfb76b35c2220d1c4588c2a66d7","pdf",FALSE
"jars-quant","JARS-Quant",5,"Non-Random Assignment checklist (PDF)","https://apastyle.apa.org/jars/quant-table-2b.pdf","apastyle.apa.org","pdf","data-raw/downloads/jars-quant/05_84a3d76f.pdf","ok",NA,NA,72030,"b2ccc754b46d0903b6cc94ec690800c6a98a3f24de665ca9ffbaf13a515f83cf","pdf",FALSE
"jars-quant","JARS-Quant",6,"Clinical Trials checklist (PDF)","https://apastyle.apa.org/jars/quant-table-2c.pdf","apastyle.apa.org","pdf","data-raw/downloads/jars-quant/06_14915a87.pdf","ok",NA,NA,85863,"34cece4a5eb9d7577fba57ee5e74418c204f296ba9b75ac6a36bbbea8658ee33","pdf",FALSE
